Name,Address,Grade Spring 2020,Grade Fall 2019,Grade Spring 2019,Grade Fall 2018,Grade Spring 2018,Grade Fall 2017,Grade Spring 2017,Infection MRSA,Infection C Diff,Infection in Blood,Infection in Urinary Tract,Infection after Colon Surgery,Problem with Surgery Object Left in Patient Body,Problem with Surgery Wound Open,Problem with Surgery Complications,Problem with Surgery Collapsed Lung,Problem with Surgery Breathing Problem,Problem with Surgery Blood Clot,Problem with Surgery Accidental Cuts,Practices to Prevent Errors Order Medications through Computer,Practices to Prevent Errors Safe Medication Administration,Practices to Prevent Errors Handwashing,Practices to Prevent Errors Communication about Medicine,Practices to Prevent Errors Communication about Discharge,Practices to Prevent Errors Staff Work Together,Safety Problems Bed Sores,Safety Problems Patient Fals and Injuries,Safety Problems Air on Gas Bubble in Blood,Safety Problems Track and Reduce Risks,Doctor Nurse Staff Leadership,Doctor Nurse Staff Qualified Nurses,Doctor Nurse Staff Trained Doctors for ICU Patients,Doctor Nurse Staff Communication with Doctors,Doctor Nurse Staff Communication with Nurses,Doctor Nurse Staff Responsiveness of Hospital Staff
Rice Memorial Hospital,"301 Becker Avenue SW Willmar, MN",c,c,c,c,c,c,c,-1,0.757,-1,-1,0.729,0,1.22,-1,0.26,8.55,3.29,1.16,45,45,-2,82,87,-2,0.33,0.675,0,-2,-2,-2,5,93,93,89
Ridgeview Medical Center,"500 S. Maple Street Waconia, MN",c,c,c,b,a,a,a,-1,0.626,-1,1.039,1.687,0,0.92,-1,0.25,7.77,3.35,1.43,45,45,-2,79,90,-2,0.68,0,0,-2,-2,-2,5,93,93,88
Rio Grande Regional Hospital,"101 E RIDGE RD McAllen, TX",b,b,b,b,c,c,c,0.852,0.525,0.942,1.394,0.464,0,0.89,180.49,0.2,7.56,3.6,1.03,100,100,60,81,84,120,0.2,0,0,100,120,100,5,90,89,83
Riddle Hospital,"1068 West Baltimore Pike Media, PA",c,c,c,c,c,b,b,0.603,0.291,0.965,0.541,0.445,0,1.14,141.99,0.41,7.1,4.56,2.04,45,45,-2,81,89,-2,0.7,0.252,0.126,-2,-2,-2,5,92,94,89
Riverside Community Hospital,"4445 Magnolia Avenue Riverside, CA",a,b,b,c,b,b,c,0.386,0.8,0.7,0.553,1.012,0,0.84,186.74,0.19,10.12,3.35,1.09,100,100,60,76,83,120,0.22,0.246,0,100,120,100,100,88,88,81
Riverside Doctors' Hospital Williamsburg,"1500 Commonwealth Avenue Williamsburg, VA",c,b,c,c,ns,a,a,-1,0.311,-1,-1,-1,0.362,0.93,-1,0.26,7.36,4.26,1.54,100,100,60,78,87,120,0.29,0,0,100,120,100,5,94,91,84
Riverside Medical Center,"350 N. Wall Street Kankakee, IL",a,a,b,a,a,a,a,1.328,0.883,0.68,0.193,0.9,0,1.13,137.82,0.27,5.23,4.76,1.15,100,100,60,76,88,120,0.39,0.112,0,100,120,100,50,92,92,83
Riverside Regional Medical Center,"500 J Clyde Morris Boulevard Newport News, VA",b,b,c,c,c,c,b,1.396,0.289,0.37,1.656,0.535,0,0.76,187.02,0.29,4.56,4.77,0.96,100,100,60,72,84,120,0.35,0.216,0,100,120,100,100,90,89,80
Regional West Medical Center,"4021 Avenue B Scottsbluff, NE",c,ns,ns,ns,c,c,c,0,0.894,0,0,1.464,0,0.88,171.64,0.23,16.47,6.64,1.22,-2,-2,-2,77,86,-2,0.72,0.878,0,-2,-2,-2,5,91,90,83
Reid Health,"1100 Reid Parkway Richmond, IN",a,c,c,b,a,b,a,0.351,0.721,1.302,0.346,0,0.088,1.09,152.09,0.19,3.85,2.55,1.08,100,100,-2,80,89,-2,1.76,0.177,0,-2,-2,-2,100,90,91,85
Renown Regional Medical Center,"1155 Mill Street Reno, NV",c,b,c,c,c,c,d,0.357,0.296,0.483,0.55,1.605,0.052,1.04,181.1,0.44,10.9,2.78,2.4,100,100,60,76,86,120,0.68,0.522,0,100,120,94.12,100,90,92,83
Raleigh General Hospital,"1710 Harper Road Beckley, WV",c,c,c,c,d,c,c,1.609,0.692,0.205,0.076,0,0,1.13,139.06,0.31,13.83,3.62,0.96,70,75,60,72,81,120,0.08,0.372,0,100,120,100,5,88,86,75
Riverside Walter Reed Hospital,"7519 Hospital Drive Gloucester, VA",a,a,d,c,c,b,a,-1,0.204,-1,-1,-1,0,0.91,-1,0.25,5.69,2.86,1.13,100,100,60,81,89,120,0.2,0.318,0,100,120,100,5,92,93,87
Riverton Hospital,"3741 West 12600 South Riverton, UT",a,a,a,a,b,a,a,-1,0.679,-1,-1,-1,0,0.94,-1,0.26,6.33,3.4,1.24,70,100,60,79,89,110.77,0.37,0,0,100,120,100,50,93,92,84
Riverside University Health System - Medical Center,"26520 Cactus Avenue Moreno Valley, CA",c,c,c,c,c,c,c,0.882,0.569,0.09,1.102,1.798,0.308,0.92,163.97,0.29,6.29,4.35,1.42,100,100,60,71,82,120,1.05,0.308,0,100,120,100,100,91,88,75
Renown South Meadows Medical Center,"10101 Double R Boulevard Reno, NV",a,a,a,a,a,b,b,-1,0.141,-1,0,-1,0,0.92,-1,0.25,4.97,4.66,1.17,100,100,60,79,85,120,0.22,0.309,0,100,120,94.12,50,91,92,85
Riverview Medical Center,"1 Riverview Plaza Red Bank, NJ",a,a,a,a,a,a,a,1.334,0.269,0.839,0.975,1.033,0,0.81,143.68,0.23,5.64,5.29,0.83,100,100,60,76,89,120,0.31,0.477,0,100,120,100,100,90,90,80
Riverview Hospital,"395 Westfield Road Noblesville, IN",c,c,c,c,a,a,a,-1,0.902,0,1.04,-1,0,0.93,174.49,0.34,10.75,3.1,1.47,45,45,-2,80,91,-2,0.57,0.656,0,-2,-2,-2,5,92,91,85
Riverview Regional Medical Center,"600 So. Third Street Gadsden, AL",a,a,a,b,c,c,c,0.906,0.576,0.326,0,-1,0,0.9,167.68,0.3,4.14,2.34,1.07,100,100,60,78,82,120,0.09,0,0,100,120,100,5,88,89,85
Robert Wood Johnson University Hospital,"One Robert Wood Johnson Place New Brunswick, NJ",b,b,b,b,b,c,b,1.183,0.819,0.167,1.501,0.561,0.107,0.67,179.57,0.37,8.37,5.16,1.75,100,100,60,77,86,120,0.49,0.161,0,100,120,100,100,91,91,82
Roane Medical Center,"8045 Roane Medical Center Drive Harriman, TN",c,c,b,c,a,b,b,-1,0,-1,-1,1.525,0,1.22,-1,0.26,6.4,3.89,1.51,100,100,60,75,87,120,1.57,1.103,0,100,120,100,5,92,90,80
Riverside Tappahannock Hospital,"618 Hospital Road Tappahannock, VA",a,a,c,c,ns,c,a,-1,0,-1,-1,-1,0,0.93,-1,0.25,8.76,3.5,1.21,100,100,60,81,88,120,0.68,0.503,0,100,120,100,50,91,93,87
Robert Wood Johnson University Hospital Rahway,"865 Stone Street Rahway, NJ",b,a,b,c,c,c,c,1.594,0.275,1.171,0.422,0.79,0,0.91,183,0.34,11.91,3,1.1,100,100,60,80,84,120,0.28,0.205,0,100,120,94.12,5,89,91,82
Robert Wood Johnson University Hospital Somerset,"110 Rehill Avenue Somerville, NJ",a,a,a,a,b,a,a,0,0.578,0.362,0.862,0.34,0,0.83,172.88,0.18,4.26,4.26,1.08,100,100,60,77,87,120,0.07,0.603,0,100,120,100,100,90,91,81
Rockledge Regional Medical Center,"110 Longwood Avenue Rockledge, FL",c,c,c,c,d,d,d,3.213,0.451,0.547,1.757,0,0,1.17,160.11,0.24,11.34,3.28,1.01,100,75,60,73,84,120,0.1,0.303,0,100,110.77,100,5,88,88,80
Rome Memorial Hospital,"1500 N. James Street Rome, NY",f,c,c,c,c,c,d,-1,1.541,-1,-1,-1,0,0.94,-1,0.25,6.88,3.36,1.23,15,50,24,77,91,0,0.62,0.446,0,45.45,73.85,47.06,5,91,94,85
Robert Wood Johnson University Hospital at Hamilton,"1 Hamilton Health Place Hamilton, NJ",a,a,a,a,a,a,b,0,0.804,0,0.861,0,0,0.84,153.55,0.3,4.91,4.8,1.98,100,100,60,79,89,120,0.47,0.293,0,100,120,100,100,90,91,81
Rochester General Hospital,"1425 Portland Avenue Rochester, NY",c,c,c,c,c,a,b,1.263,0.463,0.779,1.143,1.158,0.079,0.74,157.36,0.27,8.79,5.17,1.47,45,45,-2,74,89,-2,0.82,0.474,0,-2,-2,-2,65,91,91,81
Roper Hospital,"316 Calhoun Street Charleston, SC",c,b,b,b,b,b,b,0.819,1.275,2.038,2.546,0.671,0,0.97,184.17,0.33,4.48,3.31,1.18,100,100,60,81,89,120,0.32,0.322,0,100,120,70.59,100,94,93,89
Rose Medical Center,"4567 E. 9th Avenue Denver, CO",a,a,a,a,a,a,a,0.79,0.221,0.941,0.33,0.574,0,0.85,154.57,0.35,8.69,2.8,1.14,100,100,60,80,88,120,0.13,0.196,0,100,120,100,100,92,92,87
Rush Copley Medical Center,"2000 Ogden Avenue Aurora, IL",a,a,a,a,a,a,a,0.37,0.982,0.313,0.405,0.597,0,0.87,161.49,0.27,5.76,3.71,1.24,70,75,60,79,88,120,0.29,0.872,0,100,120,100,100,92,93,85
Rush Foundation Hospital,"1314 19th Avenue Meridian, MS",d,d,d,f,d,ns,ns,0,0.976,1.559,1.54,1.254,0,0.87,160.07,0.24,15.29,5.81,1.02,-2,-2,-2,73,80,-2,0.17,0.456,0,-2,-2,-2,5,92,90,82
Rutherford Regional Medical Center,"288 S. Ridgecrest Avenue Rutherfordton, NC",c,c,c,c,c,b,c,-1,1.574,-1,1.985,1.473,0,1.18,-1,0.33,6.34,4.18,1.42,100,100,60,76,81,120,0.67,0.306,0,100,120,100,5,91,89,82
Rush Oak Park Hospital,"520 S. Maple Avenue Oak Park, IL",a,a,a,a,a,a,a,-1,0.395,0,0.827,-1,0,0.91,-1,0.24,5.88,3.13,1.13,100,100,60,80,86,120,0.14,0,0,100,120,100,100,93,93,89
Rush University Medical Center,"1653 W. Congress Parkway Chicago, IL",b,b,b,b,a,a,a,0.967,0.591,0.761,0.72,1.29,0.158,0.67,139.55,0.35,4.25,4.69,1.18,100,100,60,79,88,120,0.22,0.475,0.053,100,120,100,100,92,93,85
Rutland Regional Medical Center,"160 Allen Street Rutland, VT",c,b,a,a,a,a,a,0.563,0.363,0.635,0.967,1.284,0,1.16,161.38,0.22,7.25,3.21,0.99,45,45,-2,82,91,-2,0.73,0.28,0,-2,-2,-2,5,92,93,88
SOUTH BAY HOSPITAL,"4016 Sun City Center Blvd. Sun City Center, FL",b,b,b,b,b,c,c,0.976,0.994,-1,0,2.922,0,0.88,178.49,0.21,7.38,3.16,1.01,100,100,60,76,85,120,0.12,0.291,0,100,120,100,50,88,89,83
SHEA MEDICAL CENTER,"9003 EAST SHEA BOULEVARD SCOTTSDALE, AZ",a,b,a,a,b,a,c,0.599,0.6,0.821,0.792,1.597,0,0.99,149.88,0.23,2.86,4.51,1.19,70,75,60,77,84,120,0.05,0.381,0,100,120,100,100,91,92,85
SSM Health DePaul Hospital-St. Louis,"12303 DePaul Drive Bridgeton, MO",c,c,b,b,a,b,c,2.825,0.471,0.716,1.656,0.518,0,0.84,194.11,0.25,5.71,5.87,1.25,100,100,60,74,86,120,0.45,0.228,0,100,120,100,100,90,90,80
SSM Health Good Samaritan Hospital - Mount Vernon,"1 Good Samaritan Way Mount Vernon, IL",b,c,c,a,a,c,a,0,0.413,0.766,0.618,0.805,0,0.88,164.97,0.39,8.27,3.81,1.02,100,100,54,81,88,120,0.34,0.81,0,100,101.54,94.12,50,92,93,87
SSM Health St. Anthony Hospital-Oklahoma City,"1000 North Lee Street Oklahoma City, OK",b,c,a,a,a,a,a,1.508,0.303,0.5,0.771,0.357,0,0.78,195.86,0.27,8.24,3.79,0.8,70,75,60,75,87,120,0.4,0.357,0,100,83.08,100,100,92,90,85
SSM Health Saint Louis University Hospital,"3635 Vista Avenue St. Louis, MO",c,d,c,c,c,c,c,1.447,1.146,1.113,0.874,1.163,0.11,1.04,183.33,0.34,-1,7.24,2.08,100,100,60,74,84,120,0.14,0.772,0,100,110.77,100,100,90,89,81
SSM Health St. Clare Hospital - Baraboo,"707 Fourteenth Street Baraboo, WI",a,a,a,a,ns,ns,ns,-1,0.324,-1,-1,-1,0,0.94,-1,0.26,6.53,4.11,1.25,45,45,-2,83,90,-2,0.32,0,0,-2,-2,-2,5,94,95,91
SSM Health St. Joseph Hospital-St. Charles,"300 First Capitol Drive St. Charles, MO",c,d,c,c,b,a,a,3.004,0.43,2.001,1.068,1.665,0,0.89,192.49,0.46,6.39,4.55,1.04,100,100,60,72,85,120,0.11,0.306,0,100,120,100,100,89,91,80
SSM Health St. Clare Hospital - St. Louis,"1015 Bowles Avenue Fenton, MO",b,c,b,b,a,a,a,1.427,0.809,0,0.429,0,0,0.9,163.3,0.37,10.42,4.08,1.05,100,100,60,77,88,64.62,1.24,0.276,0,100,120,100,100,92,92,85
SSM Health St. Joseph Hospital - Lake St. Louis,"100 Medical Plaza Lake St. Louis, MO",a,b,a,b,b,b,a,0.52,0.32,1.307,0.687,0.256,0,0.86,167.9,0.26,8.61,3.38,0.99,100,100,60,77,86,120,0.11,0.579,0,100,120,100,100,90,93,82
SSM Health St. Mary's Hospital - Audrain,"620 E Monroe Mexico, MO",c,b,a,a,ns,a,b,-1,0.723,-1,-1,-1,0,0.94,-1,0.41,6.06,3.41,1.23,45,45,-2,77,90,-2,0.35,0,0,-2,-2,-2,-1,91,92,86
SSM Health St. Mary's Hospital - St. Louis,"6420 Clayton Road St. Louis, MO",b,c,b,c,b,a,a,0.595,0.575,0.793,1.194,1.136,0,1.16,171.03,0.24,12.07,3.52,1.21,100,100,60,76,86,120,0.4,0.391,0,100,110.77,100,100,90,91,81
SSM Health St. Mary's Hospital - Jefferson City,"2505 Mission Drive Jefferson City, MO",c,c,c,b,c,c,c,1.714,1.299,0.508,0,0.795,0,1.17,155.65,0.35,6.28,5.13,1.03,45,45,-2,76,88,-2,0.38,0.959,0,-2,-2,-2,65,93,92,87
SSM Health St. Mary's Hospital-Centralia,"400 N. Pleasant Avenue Centralia, IL",a,c,a,a,a,b,a,-1,0.482,0,0.756,-1,0,0.91,169.89,0.37,7.17,3.65,1.16,100,100,54,80,91,120,0.39,0.789,0,90.91,101.54,94.12,100,93,93,88
SSM Health St. Mary's Hospital - Madison,"700 S. Park Street Madison, WI",b,a,a,a,a,a,a,0.423,0.635,0.421,0.856,0.789,0.096,0.76,126.92,0.29,5.37,3.76,0.99,45,45,-2,81,90,-2,0.27,0.384,0,-2,-2,-2,65,93,94,86
SSM Health St. Mary's Hospital - Janesville,"3400 E. Racine Street Janesville, WI",a,b,a,a,a,a,a,-1,0.414,-1,-1,0,0,0.93,-1,0.26,5.59,3.29,1.19,45,45,-2,81,90,-2,0.3,0,0,-2,-2,-2,5,94,94,86
SUNY Downstate Medical Center University Hospital of Brooklyn,"445 Lenox Road Brooklyn, NY",c,c,c,d,d,d,f,1.006,0.538,1.175,0.834,0.851,0,0.93,184.17,0.23,5.86,4.66,1.41,100,75,60,69,74,120,0.79,0,0,100,120,100,100,91,85,73
SUNY Upstate Medical University Hospital,"750 E. Adams Street Syracuse, NY",c,c,c,c,d,d,d,0.94,0.862,0.449,1.143,1.149,0,1.4,191.79,0.34,7.16,4.72,1.52,100,100,60,78,89,120,1.14,0.451,0,100,120,100,5,90,92,85
Sacred Heart Hospital On The Emerald Coast,"7800 US Highway 98 West Miramar Beach, FL",b,a,ns,a,c,b,b,-1,0.76,0,0,0.704,0,0.91,-1,0.37,6.2,3.43,1.12,45,45,-2,83,89,-2,0.21,0,0,-2,-2,-2,5,92,93,88
SageWest Health Care - Lander,"1320 Bishop Randall Drive Lander, WY",c,c,ns,ns,ns,ns,d,-1,1.724,-1,-1,-1,0,0.94,-1,0.26,6.61,4.04,1.22,40,75,24,81,85,120,0.32,0.601,0,100,110.77,100,5,94,90,88
Saint Agnes Medical Center,"1303 E. Herndon Avenue Fresno, CA",c,c,c,c,b,b,c,0.793,0.695,1.198,1.253,0.735,0,0.78,167.59,0.26,5.69,3.76,1.1,70,100,42,75,85,120,0.08,0.398,0,100,120,100,100,88,88,81
Saint Alphonsus Medical Center - Nampa,"4300 E Flamingo Ave Nampa, ID",c,b,c,c,ns,c,c,0.986,0.419,0.719,0.753,-1,0,0.9,143.74,0.24,4.99,4.99,1.16,40,75,-2,77,88,-2,0.5,0.676,0,-2,-2,-2,5,92,92,85
Saint Alphonsus Medical Center - Ontario,"351 SW 9th St Ontario, OR",b,a,a,a,b,c,c,-1,0.369,-1,0,-1,0,0.93,-1,0.31,7.74,4.13,1.23,-2,-2,-2,79,90,-2,0.3,0.635,0,-2,-2,-2,5,92,92,87
Saint Alphonsus Regional Medical Center - Boise,"1055 North Curtis Road Boise, ID",c,c,ns,ns,c,c,c,0.573,0.438,0.494,0.618,1.636,0.105,1,215.45,0.23,7.18,4.29,1.46,40,75,-2,76,88,-2,0.45,0.736,0,-2,-2,-2,5,91,90,82
Saint Clare's Hospital of Denville,"25 Pocono Road Denville, NJ",a,a,a,a,c,c,b,2.33,0.91,0.796,1.112,0.626,0,0.86,141.09,0.15,3.01,2.31,0.83,100,100,60,79,87,120,0.11,0.337,0,100,120,100,100,89,90,83
Saint Anne's Hospital,"795 Middle Street Fall River, MA",a,a,a,a,a,a,a,1.766,0.483,0,0.334,1.231,0,0.87,151.54,0.22,12.96,4.42,1.04,100,100,60,82,92,120,0.65,0.466,0,100,120,100,100,93,94,87
Saint Barnabas Medical Center,"94 Old Short Hills Road Livingston, NJ",a,a,a,a,a,a,a,0.266,0.86,0.447,0.489,0.52,0.062,1.24,133.85,0.32,10.7,6.86,0.76,100,100,60,81,86,120,0.37,0.558,0,100,120,100,100,91,92,83
Saint Clare's Hospital of Dover,"400 West Blackwell Street Dover, NJ",a,a,a,a,c,c,b,-1,0.757,-1,-1,-1,0,0.86,141.09,0.15,3.01,2.31,0.83,100,75,60,79,87,120,0.11,0.337,0,100,120,100,100,89,90,83
Saint Francis Hospital Muskogee,"300 Rockefeller Drive Muskogee, OK",d,d,d,c,c,d,c,0,0.618,1.334,0.743,0.639,0,0.89,161.8,0.25,11.6,5.95,1.06,45,45,-2,75,82,-2,0.09,0.415,0,-2,-2,-2,5,87,85,80
Saint Francis Hospital South,"10501 East 91St Streeet Tulsa, OK",b,b,c,c,c,c,a,-1,0.724,-1,-1,-1,0,0.93,-1,0.24,7.18,3.09,1.15,-2,-2,-2,80,88,-2,0.51,0.831,0,-2,-2,-2,5,92,92,88
Saint Francis Hospital,"6161 South Yale Avenue Tulsa, OK",b,b,c,c,b,c,c,0.456,0.639,0.536,0.481,1.07,0,1.42,154.42,0.27,5.88,3.33,1.97,-2,-2,-2,79,88,-2,0.15,0.34,0,-2,-2,-2,75,90,91,85
Saint Francis Hospital - Bartlett,"2986 Kate Bond Road Bartlett, TN",a,a,a,a,a,a,a,0.454,0.592,0,0.269,0,0,0.9,154.92,0.25,6.87,3.25,1.07,100,100,60,81,84,120,0.09,0.352,0,100,120,100,100,89,91,89
Saint Francis Medical Center,"211 Saint Francis Drive Cape Girardeau, MO",a,a,a,a,b,c,c,0.282,0.186,0.946,0.785,0,0,1.22,167.09,0.32,5.84,2.59,1.81,100,100,60,79,85,120,0.17,0.606,0,100,120,100,100,93,92,83
Saint Francis Hospital -Memphis,"5959 Park Avenue Memphis, TN",a,a,a,b,c,c,b,1.299,0.558,0.254,0.264,0.303,0,0.84,152.23,0.3,-1,3.46,0.88,100,100,60,77,82,120,0.33,0.239,0,100,120,100,100,90,89,83
Saint Joseph East,"150 North Eagle Creek Drive Lexington, KY",b,b,c,c,c,c,c,0.797,0.264,0.753,0.6,-1,0,1.22,168.77,0.28,13.4,2.64,1.07,70,100,60,74,87,120,0.14,0.244,0,100,120,100,5,91,90,80
Saint Joseph Health Mishawaka Medical Center,"5215 Holy Cross Parkway Mishawaka, IN",b,b,c,b,d,c,c,1.107,0.71,0.802,0.107,0.692,0,1.38,136.57,0.27,9.36,4.41,1.34,40,100,60,73,86,120,0.29,0.386,0,100,120,100,100,89,91,83
Saint Joseph Health Plymouth Medical Center,"1915 Lake Avenue Plymouth, IN",b,b,a,a,ns,c,c,-1,0.462,-1,-1,-1,0,0.94,-1,0.31,10.78,3.44,1.26,40,100,60,78,85,120,0.33,0.673,0,100,120,100,100,90,92,89
Saint Francis Memorial Hospital,"900 Hyde Street San Francisco, CA",a,b,c,c,b,b,a,-1,0.279,0.357,0.296,-1,0,0.92,154.53,0.25,7.94,3.43,1.83,100,75,60,77,85,120,0.5,0.318,0,100,120,100,100,91,89,80
Saint Joseph Hospital,"1375 East 19th Avenue Denver, CO",a,b,a,a,a,a,b,0,0.377,0.527,0.234,1.387,0,0.87,144.38,0.33,10.57,3.72,1.82,70,100,42,82,89,120,0.63,0.88,0,100,120,100,100,93,94,89
Saint Joseph Hospital,"One St Joseph Drive Lexington, KY",b,b,b,b,b,b,c,0.581,0.38,0.097,0.168,0.293,0,0.76,145.43,0.27,14.98,2.12,1.53,100,100,60,75,86,120,0.17,0.861,0,100,120,100,5,89,90,81
Saint Joseph - London,"1001 Saint Joseph Lane London, KY",b,b,c,c,c,c,c,0,0.533,0.48,0.658,-1,0,0.92,143.48,0.23,8.51,3.83,1.18,15,75,54,77,85,110.77,0.35,0,0,90.91,120,100,5,92,93,88
Saint Joseph Mount Sterling,"225 Falcon Drive Mount Sterling, KY",c,c,c,c,ns,ns,ns,-1,1.14,-1,-1,-1,0,0.94,-1,0.26,6.9,3.42,1.24,15,25,60,79,85,120,0.87,0,0,100,120,100,5,92,93,88
Saint Luke's East Hospital,"100 NE Saint Luke's Blvd Lee's Summit, MO",b,c,b,b,a,a,b,1.159,0.658,0.669,1.206,0.709,0,0.83,162.76,0.3,7.83,3.23,0.9,100,100,36,80,89,120,0.41,0.792,0,100,120,94.12,100,92,93,87
Saint Luke's Hospital of Kansas City,"4401 Wornall Road Kansas City, MO",a,a,b,a,b,b,b,0.274,0.823,1.065,1.157,0.974,0,0.72,172.66,0.4,7.82,5.83,1.1,100,100,60,82,88,120,0.23,0.598,0,100,120,100,100,92,93,87
Saint Luke's South Hospital,"12300 Metcalf Avenue Overland Park, KS",a,a,a,b,b,a,a,-1,0.546,0,0,0,0,0.9,-1,0.23,4.92,4.9,1.34,100,100,54,80,87,110.77,0.16,1.006,0,100,120,100,100,92,92,89
Saint Mary's Hospital,"56 Franklin Street Waterbury, CT",c,c,c,c,c,c,d,1.356,0.513,0,1.155,1.407,0,0.86,147.44,0.28,6.36,3.49,1.02,45,45,-2,76,88,-2,0.24,0.401,0,-2,-2,-2,85,91,92,84
Saint Luke's North Hospital - Barry Road,"5830 NW Barry Rd Kansas City, MO",b,a,a,b,b,b,c,-1,0.385,0,0.863,-1,0,0.9,149.86,0.27,10.77,3.82,1.1,45,45,-2,77,89,-2,0.4,0.438,0,-2,-2,-2,85,92,92,86
Saint Mary's Regional Medical Center,"1808 West Main Street Russellville, AR",d,ns,ns,ns,ns,c,c,0.689,0.441,0,0,1.24,0,0.91,160.03,0.28,6.19,3.43,1.39,100,75,24,76,88,46.15,0.38,0,0,45.45,73.85,58.82,5,90,90,85
Saint Peter's University Hospital,"254 Easton Avenue New Brunswick, NJ",b,a,a,b,b,a,a,0.478,0.655,0.555,0.515,2.662,0,0.85,143.32,0.3,13.15,5.42,2.05,100,100,60,79,87,120,0.53,0.125,0,100,120,100,100,91,92,83
Saint Michael's Medical Center,"111 Central Avenue Newark, NJ",a,a,a,a,c,c,d,1.151,0.594,0.262,0,0,0,0.93,145.87,0.2,6.9,2.61,1.06,100,100,60,72,78,120,0.06,0.652,0,100,120,100,100,89,87,84
Saint Thomas Midtown Hospital,"2000 Church Street Nashville, TN",b,a,b,c,a,a,c,1.294,0.176,0.483,0.257,0.586,0,1.26,168.79,0.3,10.41,4.53,1.17,40,75,60,82,87,120,0.43,0.956,0,100,120,100,100,93,92,86
Saint Thomas Rutherford Hospital,"1700 Medical Center Parkway Murfreesboro, TN",c,b,c,c,b,c,c,0.768,0.412,0.242,0.308,0.68,0,1.07,183.59,0.34,6.43,3.46,2.22,40,100,60,79,86,120,0.41,0.425,0,100,120,100,5,92,91,85
Saint Thomas West Hospital,"4220 Harding Road Nashville, TN",b,b,b,b,b,a,b,1.267,0.394,0.733,1.189,1.389,0,1.13,173.09,0.2,6.34,3.77,1.12,40,75,60,80,86,120,0.32,0.558,0,100,120,100,100,92,92,87
Saint Vincent Hospital,"232 West 25th Street Erie, PA",b,c,d,c,b,c,c,0.738,0.585,0.857,0.658,1.473,0.126,1.09,162.21,0.19,9.33,4.28,1.1,100,100,60,74,85,120,0.08,0.754,0,100,120,100,100,92,90,86
Salem Medical Center,"310 Woodstown Road Salem, NJ",c,b,c,c,c,b,d,-1,0,-1,-1,-1,0,0.93,-1,0.24,6.55,4.99,1.19,100,100,60,71,80,0,0.22,0.282,0,100,110.77,94.12,100,86,88,78
Salina Regional Health Center,"400 South Santa Fe Avenue Salina, KS",d,d,c,c,c,c,c,2.839,1,2.185,0.209,1.395,0.14,0.79,170.41,0.28,10.9,3.47,1.5,45,45,-2,78,86,-2,0.34,0.698,0,-2,-2,-2,5,91,91,86
Salinas Valley Memorial Healthcare System,"450 E. Romie Lane Salinas, CA",a,a,b,b,a,a,a,0.492,0.657,0,0.725,0.532,0,0.85,188.55,0.22,13.71,4.91,1.17,100,100,60,83,88,120,0.71,0.6,0,100,120,100,100,91,93,87
Saline Memorial Hospital,"1 Medical Park Drive Benton, AR",d,d,c,c,c,c,c,-1,0.173,-1,0.917,0.625,0,0.9,-1,0.23,5.88,2.54,1.08,40,75,36,74,85,73.85,0.16,0,0,27.27,18.46,29.41,5,92,88,81
Salt Lake Regional Medical Center,"1050 East South Temple Salt Lake City, UT",b,b,c,c,a,a,a,-1,0.635,1.095,0,-1,0,1.23,152.87,0.26,8.09,3.62,2.05,100,100,60,79,88,120,0.84,0.768,0,100,120,100,100,92,90,83
Samaritan Hospital,"801 E. Wheeler Road Moses Lake, WA",c,c,c,c,c,c,d,-1,0,-1,-1,-1,0,0.93,-1,0.25,9.25,3.57,1.77,40,75,30,76,87,120,0.66,0.497,0,100,120,88.24,5,92,91,85
Salem Hospital,"890 Oak Street SE Salem, OR",c,ns,ns,c,a,a,b,1.466,0.889,0.465,1.373,1.694,0,1.07,140.24,0.3,9.38,3.02,2.2,-2,-2,-2,81,88,-2,0.41,0.287,0.096,-2,-2,-2,5,92,93,85
Samaritan Albany General Hospital,"1046 Sixth Ave. SW Albany, OR",a,b,a,c,c,c,c,-1,0.267,-1,0,0,0,0.93,-1,0.26,5.61,3.29,1.21,45,45,-2,85,92,-2,0.3,0.819,0,-2,-2,-2,5,95,94,90
Samaritan Medical Center,"830 Washington Street Watertown, NY",c,c,c,c,c,c,c,0.97,0.519,0.559,0.895,0.504,0,0.89,-1,0.27,5.84,2.59,1.66,45,45,-2,80,84,-2,0.15,0.661,0,-2,-2,-2,5,91,90,84
Samaritan Hospital - Main Campus,"2215 Burdett Avenue Troy, NY",c,c,c,ns,ns,ns,ns,1.214,0.789,1.123,0.186,0.799,0,0.88,172.47,0.23,6.63,5.16,1.09,-2,-2,-2,75,88,-2,0.38,0.204,0,-2,-2,-2,5,89,91,82
San Angelo Community Medical Center,"3501 Knickerbocker Road San Angelo, TX",b,a,a,a,a,a,b,-1,1.589,0,0,-1,0,0.92,145.76,0.24,6.01,3.44,1.12,-2,-2,-2,79,87,-2,0.66,0.329,0,-2,-2,-2,5,93,92,88
Sampson Regional Medical Center,"607 Beaman Street Clinton, NC",c,c,c,c,ns,c,b,-1,0,-1,0.572,-1,0,0.93,-1,0.25,6.73,3.76,1.21,45,5,-2,79,88,-2,0.62,0.39,0,-2,-2,-2,5,93,91,83
